Experiment,Participant,Item,Order,Condition,Match,AntecedentNumber,NounGender,TargetResponseIdentical,ResponseComplete,Structure,NumberError,GenderError,OtherDifferences,Segment,Duration,Pause,Syllable
experiment1,s1,18,17,pp,match,plural,masculine,TRUE,yes,with_preposition,no,no,NA,adverb,470,0,4
experiment1,s1,18,17,pp,match,plural,masculine,TRUE,yes,with_preposition,no,no,NA,antecedent,1160,NA,4
experiment1,s1,18,17,pp,match,plural,masculine,TRUE,yes,with_preposition,no,no,NA,attractor,530,0,4
experiment1,s1,18,17,pp,match,plural,masculine,TRUE,yes,with_preposition,no,no,NA,onset,1456,NA,NA
experiment1,s1,18,17,pp,match,plural,masculine,TRUE,yes,with_preposition,no,no,NA,pronoun,410,0,3
experiment1,s1,18,17,pp,match,plural,masculine,TRUE,yes,with_preposition,no,no,NA,verb,550,0,4
experiment1,s1,18,17,pp,match,plural,masculine,TRUE,yes,with_preposition,no,no,NA,attractor_pronoun,880,0,7
experiment1,s1,24,18,sp,mismatch,singular,masculine,TRUE,yes,with_preposition,no,no,NA,adverb,480,0,4
experiment1,s1,24,18,sp,mismatch,singular,masculine,TRUE,yes,with_preposition,no,no,NA,antecedent,810,NA,4
experiment1,s1,24,18,sp,mismatch,singular,masculine,TRUE,yes,with_preposition,no,no,NA,attractor,530,0,4
experiment1,s1,24,18,sp,mismatch,singular,masculine,TRUE,yes,with_preposition,no,no,NA,onset,1456,NA,NA
experiment1,s1,24,18,sp,mismatch,singular,masculine,TRUE,yes,with_preposition,no,no,NA,pronoun,190,0,2
experiment1,s1,24,18,sp,mismatch,singular,masculine,TRUE,yes,with_preposition,no,no,NA,verb,490,0,4
experiment1,s1,24,18,sp,mismatch,singular,masculine,TRUE,yes,with_preposition,no,no,NA,attractor_pronoun,670,0,6
experiment1,s1,47,19,ss,match,singular,masculine,FALSE,yes,with_preposition,NA,NA,wrong_word,adverb,NA,NA,NA
experiment1,s1,47,19,ss,match,singular,masculine,FALSE,yes,with_preposition,NA,NA,wrong_word,antecedent,NA,NA,NA
experiment1,s1,47,19,ss,match,singular,masculine,FALSE,yes,with_preposition,NA,NA,wrong_word,attractor,NA,NA,NA
experiment1,s1,47,19,ss,match,singular,masculine,FALSE,yes,with_preposition,NA,NA,wrong_word,onset,NA,NA,NA
experiment1,s1,47,19,ss,match,singular,masculine,FALSE,yes,with_preposition,NA,NA,wrong_word,pronoun,NA,NA,NA
experiment1,s1,47,19,ss,match,singular,masculine,FALSE,yes,with_preposition,NA,NA,wrong_word,verb,NA,NA,NA
experiment1,s1,47,19,ss,match,singular,masculine,FALSE,yes,with_preposition,NA,NA,wrong_word,attractor_pronoun,NA,NA,NA
experiment1,s1,53,20,ps,mismatch,plural,masculine,FALSE,yes,with_preposition,NA,NA,wrong_word,adverb,NA,NA,NA
experiment1,s1,53,20,ps,mismatch,plural,masculine,FALSE,yes,with_preposition,NA,NA,wrong_word,antecedent,NA,NA,NA
experiment1,s1,53,20,ps,mismatch,plural,masculine,FALSE,yes,with_preposition,NA,NA,wrong_word,attractor,NA,NA,NA
experiment1,s1,53,20,ps,mismatch,plural,masculine,FALSE,yes,with_preposition,NA,NA,wrong_word,onset,NA,NA,NA
